Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product ID,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Year,Month,Week,Profit Margin
OID-100006,2024-01-29,2024-02-03,C-9843,Customer 348,Home Office,West,Technology,Copiers,P-TC-29312,Copiers 131,5,447.33,0.05,2124.81,299.84,2024,1,2024-01-29,0.1411137937039076
OID-100059,2024-01-15,2024-01-19,C-8142,Customer 176,Corporate,Central,Technology,Phones,P-TP-68484,Phones 821,6,396.86,0.2,1904.94,356.08,2024,1,2024-01-15,0.1869245225571409
OID-100065,2024-01-07,2024-01-09,C-5867,Customer 355,Home Office,West,Office Supplies,Storage,P-OS-98244,Storage 311,4,511.29,0.0,2045.15,355.38,2024,1,2024-01-01,0.1737672053394616
OID-100083,2024-01-09,2024-01-11,C-6478,Customer 622,Consumer,East,Furniture,Tables,P-FT-61425,Tables 640,7,307.94,0.1,1940.05,611.61,2024,1,2024-01-08,0.3152547614752197
OID-100086,2024-01-04,2024-01-07,C-3813,Customer 371,Home Office,South,Furniture,Furnishings,P-FF-78831,Furnishings 194,1,525.49,0.0,525.49,42.46,2024,1,2024-01-01,0.0808007764182001
OID-100095,2024-01-01,2024-01-05,C-6689,Customer 453,Home Office,Central,Furniture,Furnishings,P-FF-54705,Furnishings 386,7,231.91,0.0,1623.36,303.7,2024,1,2024-01-01,0.1870811157106248
OID-100097,2024-01-15,2024-01-21,C-3722,Customer 951,Consumer,Central,Office Supplies,Binders,P-OB-42506,Binders 763,4,715.07,0.1,2574.23,892.0,2024,1,2024-01-15,0.3465113839866678
OID-100118,2024-01-29,2024-01-30,C-9363,Customer 476,Home Office,East,Furniture,Furnishings,P-FF-64943,Furnishings 129,5,263.11,0.0,1315.57,85.81,2024,1,2024-01-29,0.0652264797768267
OID-100131,2024-01-30,2024-02-03,C-5810,Customer 993,Home Office,Central,Furniture,Chairs,P-FC-43240,Chairs 136,5,698.41,0.05,3317.46,590.7,2024,1,2024-01-29,0.1780579117758767
OID-100156,2024-01-27,2024-01-29,C-4631,Customer 313,Corporate,West,Furniture,Bookcases,P-FB-51744,Bookcases 290,7,606.11,0.0,4242.79,807.12,2024,1,2024-01-22,0.1902333134564755
OID-100180,2024-01-21,2024-01-23,C-9025,Customer 717,Consumer,East,Office Supplies,Appliances,P-OA-34752,Appliances 929,1,447.65,0.0,447.65,63.98,2024,1,2024-01-15,0.142924159499609
OID-100196,2024-01-07,2024-01-08,C-1075,Customer 756,Home Office,Central,Technology,Phones,P-TP-93708,Phones 975,2,756.88,0.0,1513.76,304.14,2024,1,2024-01-01,0.2009169221012577
OID-100216,2024-01-30,2024-02-04,C-1403,Customer 189,Consumer,Central,Office Supplies,Appliances,P-OA-13278,Appliances 240,6,506.87,0.05,2889.15,794.27,2024,1,2024-01-29,0.2749147673191077
OID-100221,2024-01-12,2024-01-18,C-2782,Customer 615,Consumer,South,Furniture,Chairs,P-FC-21982,Chairs 621,1,328.59,0.0,328.59,37.4,2024,1,2024-01-08,0.113819653671749
OID-100223,2024-01-26,2024-01-30,C-1800,Customer 121,Consumer,Central,Office Supplies,Binders,P-OB-37074,Binders 867,6,237.57,0.1,1282.86,85.38,2024,1,2024-01-22,0.0665544174734577
OID-100227,2024-01-04,2024-01-05,C-6328,Customer 779,Consumer,Central,Furniture,Furnishings,P-FF-40891,Furnishings 109,1,612.18,0.2,489.74,27.34,2024,1,2024-01-01,0.0558255400824927
OID-100232,2024-01-22,2024-01-26,C-7219,Customer 403,Corporate,West,Furniture,Bookcases,P-FB-58548,Bookcases 152,2,355.33,0.1,639.6,222.61,2024,1,2024-01-22,0.3480456535334584
OID-100233,2024-01-18,2024-01-21,C-8111,Customer 661,Consumer,East,Office Supplies,Paper,P-OP-81866,Paper 644,3,470.55,0.05,1341.08,327.91,2024,1,2024-01-15,0.2445118859426731
OID-100242,2024-01-01,2024-01-04,C-6539,Customer 943,Consumer,West,Furniture,Tables,P-FT-38769,Tables 317,4,207.36,0.05,787.98,123.26,2024,1,2024-01-01,0.1564252899819792
OID-100262,2024-01-13,2024-01-18,C-5730,Customer 609,Corporate,Central,Office Supplies,Appliances,P-OA-70673,Appliances 775,4,73.82,0.15,250.99,68.25,2024,1,2024-01-08,0.2719231841906052
OID-100315,2024-01-10,2024-01-13,C-3626,Customer 157,Corporate,South,Office Supplies,Paper,P-OP-53695,Paper 191,5,66.54,0.15,282.78,90.89,2024,1,2024-01-08,0.3214159417214796
OID-100342,2024-01-23,2024-01-25,C-3798,Customer 314,Consumer,West,Office Supplies,Appliances,P-OA-95614,Appliances 337,2,78.57,0.0,157.14,50.54,2024,1,2024-01-22,0.3216240295278096
OID-100366,2024-01-26,2024-01-30,C-5760,Customer 555,Consumer,West,Furniture,Furnishings,P-FF-48161,Furnishings 860,1,411.59,0.1,370.43,95.74,2024,1,2024-01-22,0.258456388521448
OID-100378,2024-01-26,2024-01-27,C-9184,Customer 686,Consumer,East,Furniture,Furnishings,P-FF-14929,Furnishings 969,5,124.54,0.05,591.55,64.15,2024,1,2024-01-22,0.1084439185191446
OID-100394,2024-01-29,2024-02-04,C-5603,Customer 483,Consumer,West,Technology,Copiers,P-TC-52696,Copiers 188,6,638.61,0.0,3831.66,799.47,2024,1,2024-01-29,0.208648470897731
OID-100403,2024-01-12,2024-01-15,C-5832,Customer 689,Corporate,South,Office Supplies,Paper,P-OP-66347,Paper 844,6,620.67,0.0,3724.01,376.29,2024,1,2024-01-08,0.1010443043923082
OID-100408,2024-01-15,2024-01-21,C-3332,Customer 275,Corporate,East,Furniture,Chairs,P-FC-15874,Chairs 565,7,728.74,0.0,5101.16,1773.63,2024,1,2024-01-15,0.3476915054615029
